iter	Passed	Remaining
0	518	1037204
1	947	946780
2	1365	908977
3	1749	873079
4	2177	868680
5	2575	855878
6	2942	837893
7	3358	836232
8	3787	837914
9	4215	838795
10	4626	836563
11	5065	839167
12	5500	840686
13	5901	837186
14	6334	838280
15	6743	836157
16	7099	828093
17	7532	829400
18	7944	828356
19	8390	830620
20	8791	828510
21	9193	826598
22	9628	827664
23	10056	827954
24	10473	827412
25	10897	827372
26	11331	828003
27	11779	829591
28	12228	831105
29	12681	832727
30	13072	830320
31	13490	829644
32	13946	831277
33	14371	830999
34	14791	830430
35	15208	829687
36	15633	829408
37	16072	829854
38	16548	832101
39	16985	832273
40	17437	833161
41	17896	834316
42	18383	836677
43	18805	835998
44	19236	835734
45	19632	833953
46	20069	833962
47	20482	832937
48	20921	833030
49	21373	833575
50	21803	833225
51	22246	833374
52	22681	833233
53	23126	833427
54	23575	833701
55	24016	833703
56	24474	834288
57	24944	835209
58	25360	834328
59	25838	835433
60	26267	834977
61	26738	835787
62	27190	836003
63	27664	836856
64	28166	838499
65	28636	839126
66	29112	839912
67	29544	839397
68	30068	841475
69	30509	841177
70	30969	841403
71	31462	842499
72	31917	842538
73	32350	841992
74	32814	842230
75	33238	841461
76	33757	843072
77	34197	842654
78	34688	843506
79	35144	843457
80	35636	844281
81	36047	843161
82	36498	842991
83	36901	841710
84	37362	841755
85	37727	839660
86	38092	837589
87	38534	837252
88	39023	837918
89	39469	837636
90	39911	837270
91	40386	837583
92	40825	837140
93	41255	836530
94	41675	835703
95	42149	835972
96	42621	836170
97	43023	835002
98	43467	834671
99	43966	835371
100	44406	834930
101	44885	835225
102	45365	835524
103	45794	834875
104	46228	834307
105	46675	833991
106	47152	834202
107	47621	834262
108	48061	833808
109	48515	833590
110	49003	833949
111	49417	833037
112	49789	831439
113	50214	830734
114	50677	830665
115	51098	829915
116	51538	829455
117	51956	828663
118	52429	828739
119	52830	827685
120	53241	826788
121	53677	826284
122	54087	825383
123	54527	824948
124	54971	824579
125	55411	824128
126	55817	823195
127	56212	822113
128	56685	822154
129	57111	821520
130	57545	821007
131	57986	820589
132	58417	820048
133	58870	819796
134	59329	819632
135	59779	819335
136	60238	819160
137	60645	818276
138	61051	817393
139	61496	817020
140	62001	817447
141	62433	816905
142	62882	816597
143	63319	816114
144	63786	816022
145	64236	815712
146	64628	814669
147	65039	813878
148	65486	813527
149	65906	812850
150	66322	812118
151	66765	811732
152	67214	811410
153	67596	810285
154	68065	810197
155	68479	809460
156	68862	808365
157	69262	807483
158	69673	806721
159	70015	805180
160	70449	804697
161	70817	803475
162	71262	803125
163	71599	801567
164	72044	801225
165	72453	800480
166	72817	799250
167	73258	798869
168	73720	798708
169	74130	797996
170	74564	797535
171	74887	795893
172	75264	794846
173	75691	794321
174	76155	794194
175	76574	793585
176	77015	793220
177	77461	792896
178	77928	792780
179	78331	792017
180	78798	791905
181	79245	791587
182	79718	791519
183	80196	791508
184	80648	791230
185	81074	790689
186	81520	790355
187	81865	789042
188	82302	788623
189	82761	788410
190	83145	787488
191	83564	786902
192	84014	786603
193	84490	786549
194	84874	785637
195	85305	785154
196	85702	784377
197	86157	784119
198	86431	782230
199	86932	782396
200	87340	781716
201	87841	781876
202	88320	781835
203	88736	781232
204	89186	780928
205	89672	780935
206	90091	780360
207	90515	779823
208	90888	778860
209	91190	777291
210	91670	777240
211	92108	776837
212	92521	776226
213	92945	775701
214	93363	775133
215	93802	774740
216	94166	773727
217	94649	773696
218	95100	773400
219	95543	773030
220	95939	772291
221	96369	771824
222	96824	771553
223	97148	770248
224	97517	769302
225	97971	769035
226	98324	767972
227	98771	767648
228	99146	766758
229	99578	766322
230	99943	765371
231	100338	764645
232	100783	764312
233	101248	764121
234	101701	763841
235	102169	763672
236	102567	762982
237	102955	762219
238	103303	761160
239	103677	760302
240	104105	759839
241	104562	759588
242	104980	759053
243	105420	758681
244	105789	757797
245	106268	757701
246	106649	756910
247	107028	756104
248	107391	755190
249	107713	753993
250	108237	754209
251	108693	753953
252	109096	753324
253	109557	753096
254	110021	752891
255	110379	751962
256	110750	751124
257	111210	750888
258	111680	750715
259	112121	750349
260	112522	749722
261	112954	749291
262	113325	748467
263	113757	748043
264	114128	747216
265	114587	746973
266	115081	746953
267	115515	746538
268	116035	746684
269	116397	745804
270	116824	745349
271	117309	745257
272	117714	744661
273	118019	743436
274	118453	743026
275	118914	742787
276	119347	742366
277	119815	742163
278	120289	742001
279	120712	741519
280	121062	740592
281	121494	740165
282	121879	739459
283	122333	739169
284	122813	739037
285	123252	738654
286	123725	738474
287	123945	736789
288	124410	736562
289	124873	736320
290	125318	735978
291	125782	735742
292	126215	735324
293	126669	735028
294	127047	734292
295	127458	733748
296	127938	733598
297	128408	733391
298	128818	732844
299	129223	732264
300	129653	731832
301	130149	731770
302	130654	731753
303	131123	731529
304	131594	731321
305	132078	731177
