iter	Logloss
0	0.6731417417
1	0.6570251213
2	0.6415302175
3	0.6270310805
4	0.6138821436
5	0.6017460818
6	0.5910368471
7	0.5801730764
8	0.5705188367
9	0.5610652499
10	0.5521066641
11	0.5444850667
12	0.5375587558
13	0.5297214079
14	0.5221483029
15	0.5146534333
16	0.508608868
17	0.5018294045
18	0.4943199871
19	0.4889022635
20	0.4832236348
21	0.4772362398
22	0.4725181949
23	0.4669463676
24	0.4625757512
25	0.4581226153
26	0.4544225917
27	0.4500663125
28	0.4461270997
29	0.4421216551
30	0.4377782695
31	0.4347150964
32	0.4310506989
33	0.4277507036
34	0.4245437212
35	0.4214177063
36	0.4185023929
37	0.4157060569
38	0.4128024531
39	0.4112030086
40	0.409019372
41	0.4066598188
42	0.4041384295
43	0.4020698443
44	0.3996827299
45	0.3979728259
46	0.3954983598
47	0.3932617413
48	0.3917723013
49	0.3898006356
50	0.38791627
51	0.3862760874
52	0.3847648655
53	0.3832444969
54	0.3815724453
55	0.3796649411
56	0.3780760129
57	0.3764643457
58	0.3750297761
59	0.3736047931
60	0.3721934294
61	0.3706835359
62	0.3691984246
63	0.3680988301
64	0.3669181806
65	0.3653055857
66	0.3639641917
67	0.3623701831
68	0.3609310436
69	0.3595910844
70	0.3581032832
71	0.3571277895
72	0.3558273433
73	0.3550171701
74	0.3540470486
75	0.3527430557
76	0.3519142785
77	0.3511019218
78	0.3499985924
79	0.3489300025
80	0.3474272422
81	0.3462913572
82	0.3455056652
83	0.3447353355
84	0.3440862837
85	0.3432955981
86	0.3422810779
87	0.3415445461
88	0.3410651415
89	0.340157969
90	0.3395783468
91	0.3387030883
92	0.3381191321
93	0.3373904762
94	0.3366668398
95	0.3361273829
96	0.3353043578
97	0.3347498511
98	0.3338796717
99	0.3333960577
100	0.3326870637
101	0.3318642248
102	0.3312039472
103	0.3306027233
104	0.3297194376
105	0.3290240115
106	0.3284728614
107	0.3280240572
108	0.3271559381
109	0.3264385322
110	0.3260003895
111	0.3254140978
112	0.3246616116
113	0.3239843444
114	0.3232274208
115	0.3225274327
116	0.3216767908
117	0.3209221173
118	0.3203063341
119	0.3196579952
120	0.3190890526
121	0.3183634729
122	0.317733194
123	0.3173525076
124	0.3168124016
125	0.3168117506
126	0.3164315911
127	0.3158246012
128	0.3153267059
129	0.3148500176
130	0.3144098239
131	0.3138173382
132	0.3133948851
133	0.3127097791
134	0.3122846174
135	0.311876778
136	0.311485351
137	0.3110807126
138	0.3105476254
139	0.310129324
140	0.3095906251
141	0.3090326375
142	0.3085140985
143	0.3081038212
144	0.3076198089
145	0.3072446186
146	0.3069547343
147	0.3065978616
148	0.3059978983
149	0.3055526219
