iter	Passed	Remaining
0	243	476952
1	380	373341
2	546	356801
3	673	330073
4	841	329606
5	978	319046
6	1136	317433
7	1307	319474
8	1523	330783
9	1689	329913
10	1971	349839
11	2114	343850
12	2359	353980
13	2646	368437
14	2789	362226
15	2955	359593
16	3107	355682
17	3347	361698
18	3598	368149
19	3754	364755
20	3998	369775
21	4218	372202
22	4384	369822
23	4547	367374
24	4739	367373
25	4864	362399
26	5118	366995
27	5263	363766
28	5432	362315
29	5639	363353
30	5764	359262
31	6036	364269
32	6196	362412
33	6337	359575
34	6557	361226
35	6691	358177
36	6955	362041
37	7114	360395
38	7273	358834
39	7551	363019
40	7708	361369
41	7863	359645
42	8127	362899
43	8295	361785
44	8484	361644
45	8619	359223
46	8901	362891
47	9047	360944
48	9193	359091
49	9457	361846
50	9649	361766
51	9794	359942
52	10061	362591
53	10337	365466
54	10603	367847
55	10767	366656
56	11025	368665
57	11275	370357
58	11544	372556
59	11809	374556
60	11960	372942
61	12116	371516
62	12374	373198
63	12532	371850
64	12788	373429
65	13031	374564
66	13190	373285
67	13342	371810
68	13483	370124
69	13738	371529
70	13898	370369
71	14083	369898
72	14340	371279
73	14509	370389
74	14652	368854
75	14903	370027
76	15157	371260
77	15437	373075
78	15598	372006
79	15736	370407
80	15883	369055
81	16073	368710
82	16209	367155
83	16433	367611
84	16691	368779
85	16848	367736
86	16988	366329
87	17148	365379
88	17306	364412
89	17575	365762
90	17739	364919
91	17947	364996
92	18082	363595
93	18240	362668
94	18391	361626
95	18673	363151
96	18828	362197
97	19081	363125
98	19241	362281
99	19479	362904
100	19641	362099
101	19806	361370
102	19923	359788
103	20161	360381
104	20328	359719
105	20469	358607
106	20638	357993
107	20905	359069
108	21060	358224
109	21229	357620
110	21407	357182
111	21562	356360
112	21822	357265
113	21970	356343
114	22121	355487
115	22365	356115
116	22518	355298
117	22764	355935
118	22943	355530
119	23071	354343
120	23224	353545
121	23483	354363
122	23653	353842
123	23753	352284
124	24035	353416
125	24084	351132
126	24259	350707
127	24409	349928
128	24675	350813
129	24844	350311
130	25008	349744
131	25129	348572
132	25280	347845
133	25521	348346
134	25704	348059
135	25861	347421
136	26028	346913
137	26324	348130
138	26463	347266
139	26607	346471
140	26864	347144
141	27040	346761
142	27179	345921
143	27434	346547
144	27632	346451
145	27791	345876
146	27937	345128
147	28108	344709
148	28281	344315
149	28399	343260
150	28579	342949
151	28716	342147
152	28955	342541
153	29145	342369
154	29278	341523
155	29546	342242
156	29716	341839
157	29944	342090
158	30131	341864
159	30273	341149
160	30427	340557
161	30576	339922
162	30694	338957
163	30917	339154
164	31069	338566
165	31217	337941
166	31503	338806
167	31647	338137
168	31793	337499
169	31930	336768
170	32081	336200
171	32358	336944
172	32626	337575
173	32783	337067
174	33055	337727
175	33213	337232
176	33456	337585
177	33620	337151
178	33781	336686
179	33957	336369
180	34183	336542
181	34338	336024
182	34507	335649
183	34753	336014
184	34963	336030
185	35138	335702
186	35288	335148
187	35471	334899
188	35656	334679
189	35724	333368
190	35893	333004
191	36043	332459
192	36231	332274
193	36346	331430
194	36625	332074
195	36753	331345
196	36898	330772
197	37175	331390
198	37336	330966
199	37456	330175
200	37740	330843
201	37855	330019
202	38018	329615
203	38168	329112
204	38342	328811
205	38522	328560
206	38819	329307
207	38990	328985
208	39117	328291
209	39184	327094
210	39367	326879
211	39538	326564
212	39690	326099
213	39970	326671
214	40204	326874
215	40370	326512
216	40541	326203
217	40694	325746
218	40869	325459
219	41006	324884
220	41147	324335
221	41414	324784
222	41581	324450
223	41882	325150
224	42052	324830
225	42199	324339
226	42398	324242
227	42572	323962
228	42715	323442
229	42862	322961
230	43066	322909
231	43204	322355
232	43427	322441
233	43717	323023
234	43855	322477
235	43975	321803
236	44118	321298
237	44236	320622
238	44405	320311
239	44671	320701
240	44953	321204
241	45120	320877
242	45281	320512
243	45417	319968
244	45579	319611
245	45735	319217
246	46002	319596
247	46147	319126
248	46350	319058
249	46479	318476
250	46751	318879
251	47034	319347
252	47205	319058
253	47376	318766
254	47684	319389
255	47811	318804
256	48023	318784
257	48154	318227
258	48330	317976
259	48423	317172
260	48586	316836
261	48795	316796
262	48929	316276
263	49111	316059
264	49257	315618
265	49403	315179
266	49619	315189
267	49795	314935
268	49947	314538
269	50102	314162
270	50254	313764
271	50427	313504
272	50699	313854
273	50831	313334
274	51088	313587
275	51375	314023
276	51531	313655
277	51724	313511
278	51890	313205
279	52033	312757
280	52222	312590
281	52384	312263
282	52646	312530
283	52713	311643
284	52871	311293
285	53022	310906
286	53177	310540
287	53376	310434
288	53513	309968
289	53681	309685
290	53852	309422
291	54006	309055
292	54188	308855
293	54434	309019
294	54615	308810
295	54816	308711
296	55011	308581
297	55178	308296
298	55335	307954
299	55568	308033
300	55755	307859
301	55935	307646
302	56088	307281
303	56238	306906
304	56447	306853
305	56601	306498
306	56771	306230
307	56932	305918
308	57092	305602
309	57349	305802
310	57629	306120
311	57806	305893
312	57964	305564
313	58090	305065
314	58374	305400
315	58497	304890
316	58665	304615
317	58840	304378
318	58997	304051
319	59162	303761
320	59444	304075
321	59606	303769
322	59915	304216
323	60053	303786
324	60240	303610
325	60427	303435
326	60581	303092
327	60747	302813
328	60937	302649
329	61079	302250
330	61362	302550
331	61667	302951
332	61808	302544
333	61970	302245
334	62160	302082
335	62324	301789
336	62534	301725
337	62673	301314
338	62817	300928
339	63046	300956
340	63187	300556
341	63467	300821
342	63663	300684
343	63841	300465
344	63985	300082
345	64170	299893
346	64329	299586
347	64452	299112
348	64599	298747
349	64842	298829
350	65120	299070
351	65292	298822
352	65463	298571
353	65642	298356
354	65839	298225
355	66116	298451
356	66272	298135
357	66532	298281
358	66717	298092
359	66974	298223
360	67124	297877
361	67323	297748
362	67465	297369
363	67748	297611
364	67877	297175
365	68035	296865
366	68302	297032
367	68592	297295
368	68760	297028
369	68953	296871
370	69115	296581
371	69410	296861
372	69602	296696
373	69749	296340
374	69915	296068
375	70094	295851
376	70269	295617
377	70516	295686
378	70704	295502
379	70903	295370
380	71096	295207
381	71266	294953
382	71401	294556
383	71670	294705
384	71960	294944
385	72112	294615
386	72351	294642
387	72542	294470
388	72681	294089
389	72842	293799
390	73018	293567
391	73295	293742
392	73471	293510
393	73744	293668
394	73927	293463
395	74199	293613
396	74383	293413
397	74559	293180
398	74720	292890
399	74893	292644
400	75098	292529
401	75261	292246
402	75441	292032
403	75693	292095
404	75976	292275
405	76160	292073
406	76330	291817
407	76520	291641
408	76705	291441
409	76991	291627
410	77247	291698
411	77433	291504
412	77572	291130
413	77864	291334
414	78022	291031
415	78335	291308
416	78490	290997
417	78680	290815
418	78976	291026
419	79231	291081
420	79509	291219
421	79768	291288
422	79985	291200
423	80176	291019
424	80484	291257
425	80894	291864
426	81356	292655
427	81621	292730
428	81777	292415
429	82032	292453
430	82272	292440
431	82427	292122
432	82655	292063
433	83107	292792
434	83584	293602
435	84033	294309
436	84518	295138
437	84863	295470
438	85110	295462
439	85281	295190
440	85474	294992
441	85644	294718
442	85843	294543
443	85986	294173
444	86266	294274
445	86502	294224
446	86648	293869
447	86811	293569
448	86990	293327
449	87177	293109
450	87339	292809
451	87619	292905
452	87814	292713
453	87966	292382
454	88254	292500
455	88429	292242
456	88585	291925
457	88758	291663
458	89010	291658
459	89173	291365
460	89374	291193
461	89524	290857
462	89778	290860
463	90050	290918
464	90243	290719
465	90532	290831
466	90689	290516
467	90869	290277
468	91052	290046
469	91353	290191
470	91525	289928
471	91721	289738
472	91906	289515
473	92053	289171
474	92235	288940
475	92505	288983
476	92676	288714
477	92820	288363
478	92990	288095
479	93191	287921
480	93369	287679
481	93613	287637
482	93888	287691
483	94125	287628
484	94266	287268
485	94481	287138
486	94635	286822
487	94805	286553
488	94981	286303
489	95168	286088
490	95364	285899
491	95546	285667
492	95735	285459
493	95896	285167
494	96097	284992
495	96289	284792
496	96443	284480
497	96753	284626
498	96905	284309
499	97187	284370
500	97362	284119
501	97618	284105
502	97763	283766
503	98032	283789
504	98187	283478
505	98502	283632
506	98693	283426
507	98871	283185
508	99056	282963
509	99305	282923
510	99449	282585
511	99743	282670
512	99909	282394
513	100092	282166
514	100257	281889
515	100390	281520
516	100658	281531
517	100842	281306
518	101126	281361
519	101306	281125
520	101628	281281
521	101757	280905
522	102022	280904
523	102223	280723
524	102376	280413
525	102567	280207
526	102756	279996
527	102970	279854
528	103110	279509
529	103291	279277
530	103463	279021
531	103634	278760
532	103820	278543
533	103978	278250
534	104254	278270
535	104444	278063
536	104625	277833
537	104800	277584
538	105094	277651
539	105276	277422
540	105424	277105
541	105606	276876
542	105906	276956
543	106168	276935
544	106352	276712
545	106477	276334
546	106746	276331
547	106930	276106
548	107211	276133
549	107489	276149
550	107704	276005
551	107869	275731
552	108048	275494
553	108195	275174
554	108369	274927
555	108543	274678
556	108725	274448
557	108913	274236
558	109078	273965
559	109273	273768
560	109482	273609
561	109652	273349
562	109927	273355
563	110202	273355
564	110461	273318
565	110725	273292
566	110906	273059
567	111091	272840
568	111274	272611
569	111463	272401
570	111754	272437
571	111940	272219
572	112242	272280
573	112404	272003
574	112568	271731
575	112873	271797
576	113191	271895
577	113333	271569
578	113622	271593
579	113782	271312
580	113973	271104
581	114172	270914
582	114357	270692
583	114621	270656
584	114911	270680
585	115048	270345
586	115242	270142
587	115453	269979
588	115641	269763
589	115806	269495
590	115952	269182
591	116118	268916
592	116364	268835
593	116497	268493
594	116681	268268
595	116866	268047
596	117043	267808
597	117319	267795
598	117659	267924
599	117797	267595
600	117994	267402
601	118163	267142
602	118421	267085
603	118592	266832
604	118781	266620
605	119002	266479
606	119134	266140
607	119441	266188
608	119649	266018
609	119766	265645
610	120026	265589
611	120269	265496
612	120456	265280
613	120669	265119
614	120804	264788
615	121006	264604
616	121174	264343
617	121354	264113
618	121551	263918
619	121747	263720
620	121912	263457
621	122108	263259
622	122302	263057
623	122485	262833
624	122688	262650
625	122857	262395
626	123081	262259
627	123267	262040
628	123450	261817
629	123624	261573
630	123789	261311
631	124001	261148
632	124180	260916
633	124348	260661
634	124557	260491
635	124733	260254
636	124892	259979
637	125081	259769
638	125285	259590
639	125443	259314
640	125716	259278
641	125912	259080
642	126085	258838
643	126259	258596
644	126459	258409
645	126643	258187
646	126806	257924
647	126954	257631
648	127245	257628
649	127438	257424
650	127618	257197
651	127804	256981
652	128086	256956
653	128265	256727
654	128571	256749
655	128748	256514
656	129048	256525
657	129195	256231
658	129459	256169
659	129637	255936
660	129838	255748
661	130036	255556
662	130195	255284
663	130482	255266
664	130706	255122
