iter	Passed	Remaining
0	204	408575
1	363	363245
2	510	339802
3	667	332981
4	914	364390
5	1047	347652
6	1192	339313
7	1442	358878
8	1596	352726
9	1738	345631
10	1869	337745
11	2108	348970
12	2255	344428
13	2425	343718
14	2543	336249
15	2683	332371
16	2832	330032
17	3052	335748
18	3217	335121
19	3420	338325
20	3548	334089
21	3705	332806
22	3846	330296
23	4003	329315
24	4309	340097
25	4471	339112
26	4630	338000
27	4765	335270
28	4926	334464
29	5075	332980
30	5340	338853
31	5503	338151
32	5658	336909
33	5838	337237
34	5973	335039
35	6117	333424
36	6272	332432
37	6424	331388
38	6584	330725
39	6765	331147
40	6942	331354
41	7096	330472
42	7411	336979
43	7551	335363
44	7829	339810
45	8015	340138
46	8266	343149
47	8444	343063
48	8727	347130
49	8897	346642
50	9060	345889
51	9220	345070
52	9414	345488
53	9563	344282
54	9748	344395
55	9913	343795
56	10111	344319
57	10248	342781
58	10387	341364
59	10559	341070
60	10832	343965
61	11012	343861
62	11230	344946
63	11373	343695
64	11532	342959
65	11801	345464
66	11918	343504
67	12109	343693
68	12308	344103
69	12419	342078
70	12677	344079
71	12922	345672
72	13171	347343
73	13320	346325
74	13468	345338
75	13627	344629
76	13771	343571
77	13902	342212
78	14152	343789
79	14334	343676
80	14473	342543
81	14618	341565
82	14869	343072
83	15075	343513
84	15209	342303
85	15362	341550
86	15616	343014
87	15762	342109
88	16022	343677
89	16164	342683
90	16317	341945
91	16488	341602
92	16655	341172
93	16787	340041
94	17021	340957
95	17183	340449
96	17362	340270
97	17537	340006
98	17690	339342
99	17805	337946
100	18109	340130
101	18229	338853
102	18506	340491
103	18682	340237
104	18861	340041
105	19159	341984
106	19300	341097
107	19444	340281
108	19636	340309
109	19785	339582
110	19961	339350
111	20122	338851
112	20230	337467
113	20420	337472
114	20566	336755
115	20709	335996
116	20894	335920
117	21024	334966
118	21166	334212
119	21294	333255
120	21468	333026
121	21639	332745
122	21770	331863
123	21919	331269
124	22079	330842
125	22244	330483
126	22320	328829
127	22510	328861
128	22659	328293
129	22810	327770
130	23070	328798
131	23238	328503
132	23378	327827
133	23566	327816
134	23722	327375
135	23872	326844
136	24040	326569
137	24220	326454
138	24368	325906
139	24490	325030
140	24761	326111
141	24936	325924
142	25125	325935
143	25249	325088
144	25408	324704
145	25601	324756
146	25771	324516
147	25944	324310
148	26101	323906
149	26355	324703
150	26627	325698
151	26831	325861
152	26992	325501
153	27145	325044
154	27375	325501
155	27527	325034
156	27691	324718
157	27729	322926
158	27908	322789
159	28049	322224
160	28211	321887
161	28463	322587
162	28601	321985
163	28761	321640
164	29043	322648
165	29299	323350
166	29451	322909
167	29616	322608
168	29901	323606
169	30031	322921
170	30179	322446
171	30369	322409
172	30525	322021
173	30703	321858
174	30969	322610
175	31150	322480
176	31353	322574
177	31568	322782
178	31727	322415
179	31875	321943
180	32072	321963
181	32186	321162
182	32342	320774
183	32528	320685
184	32680	320266
185	32871	320227
186	33031	319896
187	33169	319344
188	33322	318943
189	33615	319877
190	33763	319429
191	34097	320729
192	34219	320030
193	34384	319743
194	34519	319169
