iter	Logloss
0	0.6622776243
1	0.6337299017
2	0.6047623579
3	0.5758451042
4	0.5514661152
5	0.5280531661
6	0.5072294977
7	0.4896876672
8	0.4734556963
9	0.4566531667
10	0.4410638355
11	0.4269699882
12	0.413610972
13	0.4024892631
14	0.3924751531
15	0.3833737647
16	0.3749445918
17	0.3653967273
18	0.3575206013
19	0.3496528026
20	0.3426718934
21	0.3352205282
22	0.3294016723
23	0.323182972
24	0.3173155793
25	0.311852287
26	0.3069519274
27	0.3021832373
28	0.2990388079
29	0.294765664
30	0.2909954234
31	0.2878645414
32	0.2850275235
33	0.2814187632
34	0.2783358476
35	0.2759009973
36	0.2742467199
37	0.2708169564
38	0.2683441628
39	0.2663350157
40	0.2642344522
41	0.2631412263
42	0.2593553166
43	0.2570868445
44	0.2548875863
45	0.2533582312
46	0.2515853114
47	0.2494294952
48	0.2461207295
49	0.2456066525
50	0.2446444589
51	0.2427730013
52	0.2414963255
53	0.2397622134
54	0.2379530388
55	0.2364498997
56	0.2359210709
57	0.2346994665
58	0.233470703
59	0.2326292805
60	0.2310581697
61	0.2302602497
62	0.2290311966
63	0.2281396714
64	0.2274081609
65	0.2267842565
66	0.2261573587
67	0.2257755319
68	0.2251708978
69	0.2245047879
70	0.2240988979
71	0.2231001783
72	0.2223434216
73	0.2213373605
74	0.2203421567
75	0.2197546274
76	0.2189854759
77	0.2184093323
78	0.2177186294
79	0.2174223175
80	0.2167298431
81	0.215868186
82	0.2152156046
83	0.2146619118
84	0.2139766512
85	0.2134170111
86	0.2130214623
87	0.2127085064
88	0.2120758166
89	0.2117560746
90	0.2110514642
91	0.2102038488
92	0.2098295789
93	0.2089297112
94	0.2087024548
95	0.2081692437
96	0.2074210261
97	0.2069842987
98	0.206700166
99	0.2066339024
100	0.206208477
101	0.2060148208
102	0.2051785666
103	0.204740506
104	0.2039364629
105	0.2031610313
106	0.2028680308
107	0.2027498041
108	0.2025595523
109	0.2020346262
110	0.2016221009
111	0.2011722651
112	0.2006895902
113	0.2002548525
114	0.1999566144
115	0.1995013546
116	0.1990337903
117	0.1986245497
118	0.198249923
119	0.1977361698
120	0.1975315589
121	0.1972842961
122	0.1971311655
123	0.1965021769
124	0.1962471855
125	0.1958485343
126	0.1950021224
127	0.1945405892
128	0.1942596477
129	0.1938916796
130	0.1937205823
131	0.1931287728
132	0.1926822876
133	0.1923416914
134	0.1917780244
135	0.1911452344
136	0.1910622277
137	0.1907827218
138	0.190462874
139	0.190109408
140	0.1899766016
141	0.1894358728
142	0.1892837143
143	0.1889216267
144	0.1885491072
145	0.1881645013
146	0.1877847101
147	0.1874323215
148	0.1872547249
149	0.1865846158
150	0.186343549
151	0.1859435534
152	0.1856265521
153	0.1853963152
154	0.1853288029
155	0.1851051813
156	0.1844922736
157	0.1843924331
158	0.1842681535
159	0.183921739
160	0.1834296645
161	0.1832474136
162	0.1829106406
163	0.1825495619
164	0.1823510286
165	0.1818679514
166	0.1815691017
167	0.1812046643
168	0.1808461985
169	0.1806871667
170	0.1803735616
171	0.1800294259
172	0.1797524691
173	0.1793638711
174	0.1792138297
175	0.1786263551
176	0.178434034
177	0.1781281283
178	0.1776533265
179	0.177374277
180	0.1769385602
181	0.1768812393
182	0.1765920583
183	0.1763255836
184	0.1762340238
185	0.1758551444
186	0.1756174722
187	0.1753044658
188	0.1751265031
189	0.1748602073
