iter	Passed	Remaining
0	192	99335
1	352	90642
2	529	90565
3	898	114952
4	1283	131218
5	1585	134783
6	1837	133603
7	2097	133159
8	2272	128041
9	2610	132096
10	2975	136611
11	3128	131412
12	3239	125340
13	3333	119531
14	3422	114308
15	3483	108870
16	3544	104038
17	3777	104501
18	3897	101948
19	3971	98502
20	4208	99207
21	4448	99896
22	4563	97826
23	4835	99119
24	5092	100013
25	5356	100940
26	5533	100215
27	5818	101411
28	5906	99196
29	6172	99990
30	6360	99510
31	6485	98087
32	6604	96668
33	6948	98508
34	7181	98693
35	7243	96584
36	7358	95264
37	7650	96237
38	8011	97985
39	8298	98751
40	8477	98214
41	8539	96379
42	8816	96977
43	9139	98045
44	9373	98109
45	9498	97046
46	9645	96245
47	9917	96691
48	10227	97473
49	10286	95865
50	10418	94995
51	10782	96208
52	11011	96193
53	11350	97111
54	11676	97866
55	12011	98664
56	12238	98553
57	12577	99320
58	12800	99148
59	13031	99037
60	13326	99400
61	13617	99713
62	13889	99870
63	14208	100348
64	14393	99868
65	14719	100361
66	15036	100768
67	15096	99458
68	15398	99756
69	15718	100151
70	16002	100299
71	16278	100383
72	16508	100183
73	16768	100154
74	17052	100267
75	17356	100485
76	17672	100758
77	17998	101070
78	18328	101386
79	18443	100517
80	18757	100732
81	19035	100748
82	19382	101116
83	19679	101206
84	19999	101407
85	20245	101226
86	20583	101499
87	20750	100924
88	21075	101116
89	21347	101046
90	21652	101125
91	21944	101136
92	22280	101341
93	22564	101302
94	22805	101066
95	23127	101182
96	23402	101089
97	23741	101266
98	24061	101348
99	24415	101566
100	24714	101549
101	25032	101604
102	25339	101604
103	25659	101651
104	25974	101672
105	26210	101379
106	26529	101405
107	26861	101476
108	27158	101407
109	27464	101369
110	27792	101404
111	28149	101537
112	28435	101412
113	28735	101329
114	29091	101441
115	29403	101391
116	29710	101321
117	30002	101196
118	30341	101223
119	30637	101102
120	30862	100747
121	31150	100601
122	31334	100118
123	31692	100190
124	32008	100122
125	32299	99974
126	32593	99833
127	32890	99699
128	33154	99464
129	33480	99410
130	33661	98927
131	33979	98848
132	34279	98713
133	34593	98616
134	34827	98290
135	35111	98106
136	35445	98057
137	35754	97935
138	36058	97799
139	36407	97779
140	36735	97700
141	37047	97576
142	37404	97565
143	37736	97487
144	38089	97456
145	38373	97247
146	38693	97128
147	38964	96884
148	39263	96709
149	39493	96364
150	39734	96048
151	40019	95835
152	40286	95581
153	40619	95481
154	40726	94853
155	40952	94506
156	41255	94335
157	41554	94154
158	41749	93740
159	42064	93594
160	42371	93428
161	42630	93154
162	42957	93031
163	43253	92835
164	43609	92768
165	43946	92659
166	44256	92489
167	44600	92385
168	44931	92256
169	45241	92080
170	45478	91754
171	45754	91509
172	46043	91287
173	46379	91159
174	46721	91040
175	46975	90748
176	47154	90313
177	47491	90179
178	47799	89990
179	48126	89835
180	48456	89685
181	48585	89162
182	48895	88973
183	49237	88841
184	49476	88522
185	49743	88255
186	50079	88108
187	50436	87996
188	50736	87781
189	51050	87591
190	51328	87338
191	51656	87170
192	51990	87009
193	52317	86836
194	52655	86679
195	52970	86481
196	53272	86264
197	53581	86054
198	53889	85844
199	54254	85722
200	54575	85528
201	54916	85364
202	55238	85171
203	55352	84656
204	55658	84438
205	56000	84271
206	56332	84090
207	56620	83842
208	56928	83622
209	57257	83432
210	57500	83117
211	57763	82830
212	58019	82534
213	58316	82296
214	58617	82064
215	58913	81824
216	59238	81624
217	59519	81361
218	59767	81054
219	60080	80834
220	60409	80637
221	60758	80463
222	61083	80257
223	61414	80058
224	61718	79822
225	62070	79647
226	62335	79361
227	62663	79153
228	62959	78905
229	63307	78721
230	63617	78488
231	63985	78327
232	64285	78081
233	64583	77831
234	64816	77504
235	65113	77253
236	65426	77021
237	65773	76828
238	66097	76606
239	66427	76392
240	66729	76143
241	67059	75926
242	67383	75701
243	67669	75435
244	67973	75186
245	68292	74955
246	68627	74740
247	68960	74521
248	69260	74266
249	69567	74019
250	69910	73810
251	70247	73592
252	70596	73387
253	70894	73127
254	71238	72915
255	71547	72665
256	71847	72406
257	72170	72170
258	72444	71884
259	72755	71635
260	73027	71349
261	73337	71098
262	73624	70825
263	73949	70588
264	74251	70328
265	74562	70077
266	74890	69841
267	75219	69606
268	75528	69351
269	75814	69075
270	76139	68834
271	76472	68600
272	76803	68363
273	77132	68124
274	77436	67862
275	77774	67629
276	78104	67390
277	78352	67078
278	78663	66821
279	78958	66550
280	79299	66318
281	79625	66072
282	79933	65810
283	80235	65544
284	80526	65268
285	80841	65012
286	81135	64738
287	81464	64492
288	81755	64216
289	82086	63970
290	82415	63723
291	82732	63465
292	83071	63224
293	83407	62980
294	83739	62733
295	84051	62470
296	84341	62191
297	84665	61936
298	84945	61649
299	85283	61404
300	85566	61118
301	85786	60789
302	86077	60509
303	86381	60239
304	86710	59986
305	86992	59700
306	87282	59420
307	87580	59145
308	87923	58899
309	88251	58644
310	88553	58371
311	88881	58114
312	89184	57841
313	89503	57578
314	89841	57327
315	90128	57043
316	90411	56756
317	90722	56487
318	91036	56219
319	91321	55934
320	91658	55680
321	91959	55404
322	92269	55132
323	92579	54862
324	92895	54593
325	93213	54326
326	93554	54072
327	93852	53793
328	94167	53523
329	94508	53268
330	94859	53018
331	95168	52743
332	95463	52461
333	95802	52203
334	96101	51923
335	96460	51675
336	96766	51398
337	97111	51141
338	97431	50871
339	97729	50589
340	98026	50306
341	98314	50019
342	98636	49749
343	98936	49468
344	99241	49189
345	99573	48923
346	99897	48653
347	100197	48371
348	100511	48095
349	100845	47829
350	101132	47540
351	101404	47245
352	101711	46965
353	101992	46674
354	102302	46396
355	102633	46127
356	102933	45844
357	103213	45552
358	103522	45273
359	103870	45010
360	104164	44724
361	104437	44429
362	104747	44149
363	105091	43884
364	105366	43589
365	105649	43299
366	106000	43035
367	106313	42756
368	106613	42471
369	106912	42186
370	107233	41910
371	107558	41635
372	107826	41338
373	108144	41060
374	108436	40772
375	108733	40485
376	109063	40211
377	109388	39935
378	109712	39658
379	110033	39380
380	110317	39089
381	110658	38817
382	110971	38535
383	111303	38260
384	111609	37976
385	111924	37694
386	112264	37421
387	112589	37142
388	112943	36873
389	113277	36597
390	113584	36312
391	113911	36033
392	114201	35742
393	114496	35453
394	114825	35174
395	115158	34896
396	115474	34613
397	115819	34338
398	116104	34045
399	116454	33771
400	116745	33480
401	117086	33203
402	117380	32913
403	117727	32637
404	118074	32361
405	118379	32073
406	118681	31784
407	118977	31494
408	119286	31206
409	119608	30923
410	119915	30635
411	120246	30353
412	120576	30071
413	120892	29785
414	121223	29502
415	121493	29205
416	121813	28919
417	122094	28625
418	122399	28335
419	122740	28054
420	123025	27761
421	123332	27472
422	123642	27183
423	123963	26897
424	124263	26607
425	124599	26323
426	124902	26033
427	125251	25752
428	125557	25462
429	125874	25174
430	126187	24886
431	126516	24600
432	126819	24309
433	127147	24023
434	127471	23736
435	127787	23447
436	128133	23163
437	128447	22874
438	128774	22586
439	129106	22300
440	129429	22011
441	129724	21718
442	130066	21433
443	130364	21140
444	130671	20848
445	130990	20558
446	131305	20268
447	131620	19978
448	131931	19686
449	132248	19396
450	132553	19104
451	132875	18814
452	133186	18522
453	133531	18235
454	133836	17942
455	134129	17648
456	134464	17359
457	134762	17065
458	135089	16775
459	135409	16484
460	135728	16193
461	136056	15902
462	136371	15610
463	136680	15317
464	137017	15027
465	137357	14737
466	137672	14445
467	137996	14153
468	138330	13862
469	138651	13570
470	139029	13283
471	139339	12989
472	139674	12697
473	139982	12403
474	140282	12108
475	140598	11814
476	140921	11521
477	141207	11225
478	141488	10929
479	141821	10636
480	142159	10344
481	142427	10046
482	142782	9755
483	143137	9463
484	143423	9167
485	143745	8873
486	144054	8578
487	144399	8285
488	144722	7990
489	145063	7697
490	145364	7401
491	145671	7105
492	146014	6812
493	146361	6518
494	146659	6221
495	146953	5925
496	147257	5629
497	147581	5334
498	147868	5037
499	148208	4742
500	148510	4446
501	148845	4151
502	149156	3854
503	149468	3558
504	149790	3262
505	150111	2966
506	150423	2670
507	150738	2373
508	151075	2077
509	151383	1780
510	151695	1484
511	151993	1187
512	152346	890
513	152648	593
514	152944	296
515	153247	0
