iter	Passed	Remaining
0	217	92201
1	476	100517
2	576	80935
3	680	71498
4	814	68227
5	1141	79541
6	1193	71123
7	1404	73035
8	1657	76447
9	1801	74579
10	2058	77283
11	2317	79567
12	2410	76206
13	2472	72404
14	2688	73299
15	2850	72687
16	3072	73564
17	3289	74187
18	3482	74227
19	3757	75907
20	3882	74508
21	4042	73862
22	4259	74265
23	4376	72949
24	4572	72984
25	4623	70767
26	4881	71774
27	5206	73637
28	5412	73715
29	5542	72785
30	5669	71880
31	5788	70906
32	6118	72499
33	6229	71459
34	6362	70718
35	6477	69812
36	6855	71702
37	6912	70220
38	7101	70103
39	7414	71174
40	7557	70595
41	7887	71742
42	8120	71954
43	8443	72918
44	8530	71846
45	8799	72306
46	9141	73324
47	9450	74029
48	9742	74558
49	10103	75571
50	10452	76446
51	10733	76787
52	11070	77494
53	11301	77434
54	11612	77909
55	11923	78353
56	12238	78801
57	12543	79154
58	12666	78359
59	13005	78900
60	13382	79638
61	13712	80063
62	13985	80138
63	14332	80620
64	14616	80729
65	14907	80859
66	15207	81032
67	15515	81227
68	15677	80657
69	15998	80908
70	16368	81383
71	16645	81378
72	16984	81662
73	17313	81888
74	17657	82166
75	17945	82169
76	18314	82533
77	18613	82568
78	18961	82808
79	19292	82958
80	19574	82889
81	19955	83227
82	20269	83275
83	20511	83020
84	20826	83062
85	21203	83333
86	21511	83325
87	21844	83406
88	22149	83373
89	22472	83396
90	22818	83499
91	23147	83532
92	23303	82941
93	23630	82958
94	23927	82865
95	24322	83100
96	24647	83091
97	24786	82453
98	25102	82406
99	25425	82380
100	25781	82448
101	26100	82396
102	26427	82360
103	26760	82338
104	27104	82345
105	27435	82306
106	27747	82204
107	28041	82046
108	28364	81969
109	28483	81306
110	28871	81413
111	29192	81322
112	29523	81253
113	29776	80972
114	30109	80903
115	30442	80828
116	30812	80850
117	31096	80639
118	31411	80509
119	31533	79885
120	31900	79883
121	32223	79766
122	32547	79647
123	32887	79565
124	33142	79277
125	33438	79083
126	33744	78914
127	34082	78816
128	34479	78847
129	34737	78559
130	35110	78528
131	35444	78406
132	35815	78362
133	36153	78243
134	36481	78096
135	36828	77990
136	37153	77831
137	37421	77553
