iter	Passed	Remaining
0	441	220517
1	838	208666
2	1260	208846
3	1650	204625
4	2057	203687
5	2501	205989
6	2795	196896
7	3087	189874
8	3559	194181
9	4035	197746
10	4427	196805
11	4717	191854
12	5077	190224
13	5459	189526
14	5852	189239
15	6139	185707
16	6530	185533
17	6911	185079
18	7295	184687
19	7599	182395
20	8021	182972
21	8345	181320
22	8696	180362
23	9140	181277
24	9572	181875
25	9901	180513
26	10244	179475
27	10649	179526
28	11003	178706
29	11389	178433
30	11804	178586
31	12231	178880
32	12638	178856
33	13046	178811
34	13495	179297
35	13812	178026
36	14164	177251
37	14516	176484
38	14903	176167
39	15256	175454
40	15632	175005
41	16002	174498
42	16449	174819
43	16838	174505
44	17153	173444
45	17592	173629
46	18013	173619
47	18404	173313
48	18810	173137
49	19197	172777
50	19655	173044
51	20125	173389
52	20533	173179
53	20998	173434
54	21393	173090
55	21808	172911
56	22253	172953
57	22711	173076
58	23163	173138
59	23497	172314
60	23939	172285
61	24369	172160
62	24834	172263
63	25260	172087
64	25678	171850
65	26133	171846
66	26546	171559
67	26985	171435
68	27369	170963
69	27762	170538
70	28230	170575
71	28630	170194
72	28998	169620
73	29427	169405
74	29885	169352
75	30354	169345
76	30785	169120
77	31216	168891
78	31651	168671
79	32073	168384
80	32544	168347
81	33040	168426
82	33481	168214
83	33895	167864
84	34267	167304
85	34759	167332
86	35177	166991
87	35657	166941
88	36139	166889
89	36603	166749
90	37025	166410
91	37495	166284
92	37903	165880
93	38354	165656
94	38715	165050
95	39196	164953
96	39649	164729
97	40105	164513
98	40530	164169
99	40983	163935
100	41433	163682
101	41825	163199
102	42238	162804
103	42669	162471
104	43132	162260
105	43568	161943
106	44064	161845
107	44515	161573
108	44971	161318
109	45460	161177
110	45898	160852
111	46327	160491
112	46778	160204
113	47260	160022
114	47740	159828
115	48221	159628
116	48691	159392
117	49178	159203
118	49653	158973
119	50105	158668
120	50486	158133
121	50928	157794
122	51375	157469
123	51821	157136
124	52323	156970
125	52795	156710
126	53238	156360
127	53727	156144
128	54256	156039
129	54755	155841
130	55276	155703
131	55741	155401
132	56259	155241
133	56745	154991
134	57230	154734
135	57729	154511
136	58193	154192
137	58700	153982
138	59160	153646
139	59609	153280
140	60005	152779
141	60474	152464
142	60980	152238
143	61443	151902
144	61907	151566
145	62306	151071
146	62791	150786
147	63270	150481
148	63703	150066
