iter	Passed	Remaining
0	132	42552
1	372	59828
2	506	53985
3	708	56463
4	842	53591
5	933	49340
6	1092	49328
7	1192	46973
8	1322	46142
9	1436	44953
10	1618	45919
11	1704	44177
12	1798	42897
13	1898	41905
14	1969	40432
15	2121	40704
16	2325	41857
17	2504	42441
18	2649	42385
19	2838	43005
20	2934	42197
21	3046	41681
22	3106	40515
23	3200	39869
24	3348	39910
25	3498	39961
26	3671	40246
27	3801	40049
28	3960	40149
29	4098	40032
30	4342	40905
31	4441	40390
32	4566	40127
33	4759	40455
34	4887	40217
35	5090	40583
36	5324	41154
37	5461	40963
38	5668	41277
39	5811	41113
40	6032	41494
41	6207	41528
42	6336	41258
43	6489	41150
44	6688	41322
45	6862	41322
46	7010	41165
47	7143	40923
48	7346	41078
49	7480	40841
50	7625	40668
51	7821	40764
52	8047	40996
53	8261	41156
54	8389	40879
55	8587	40942
56	8770	40930
57	8985	41056
58	9192	41132
59	9338	40934
60	9575	41126
61	9659	40664
62	9850	40654
63	10067	40741
64	10218	40559
65	10438	40645
66	10550	40311
67	10778	40418
68	10917	40187
69	11150	40302
70	11377	40380
71	11489	40053
72	11734	40185
73	11917	40101
74	12064	39892
75	12196	39637
76	12412	39654
77	12598	39572
78	12806	39552
79	12952	39343
80	13165	39333
81	13371	39299
82	13523	39104
83	13717	39029
84	13950	39060
85	14102	38864
86	14297	38782
87	14469	38639
88	14579	38332
89	14789	38289
90	14924	38049
91	15065	37828
92	15241	37693
93	15481	37716
94	15719	37725
95	15796	37352
96	15965	37198
97	16102	36969
98	16256	36782
99	16508	36814
100	16678	36659
101	16832	36470
102	17078	36478
103	17217	36255
104	17442	36213
105	17618	36067
106	17730	35793
107	17902	35638
108	18181	35696
109	18322	35478
110	18506	35344
111	18674	35180
112	18894	35114
113	19061	34946
114	19233	34787
115	19380	34583
116	19540	34405
117	19782	34368
118	19927	34160
119	20152	34091
120	20350	33973
121	20577	33902
122	20806	33832
123	21012	33721
124	21227	33623
125	21351	33383
126	21493	33171
127	21650	32983
128	21874	32897
129	22062	32754
130	22191	32524
131	22367	32364
132	22530	32187
133	22779	32128
134	22949	31958
135	23087	31745
136	23249	31564
137	23428	31407
138	23570	31200
139	23781	31085
140	23969	30939
141	24117	30741
142	24281	30564
143	24446	30388
144	24594	30191
145	24815	30084
146	24966	29891
147	25195	29791
148	25318	29566
149	25538	29453
150	25699	29273
151	25900	29138
152	26049	28944
153	26237	28793
154	26438	28655
155	26623	28500
156	26857	28397
157	27064	28263
158	27301	28160
159	27463	27978
160	27690	27862
161	27904	27732
162	28049	27533
163	28292	27430
164	28456	27249
165	28622	27070
166	28788	26892
167	28956	26716
168	29189	26598
169	29329	26396
170	29531	26249
171	29697	26071
172	29972	25987
173	30102	25777
174	30219	25556
175	30360	25358
176	30597	25239
177	30774	25068
178	30843	24812
179	31022	24645
180	31110	24406
181	31304	24252
182	31490	24090
183	31706	23952
184	31953	23835
185	32098	23642
186	32255	23458
187	32496	23335
188	32597	23111
189	32832	22982
190	33051	22841
191	33259	22692
192	33501	22565
193	33658	22381
194	33862	22227
195	34001	22031
196	34197	21872
197	34369	21697
198	34497	21495
199	34640	21303
200	34761	21099
201	34967	20945
202	35113	20756
203	35316	20601
204	35494	20431
205	35725	20290
206	35911	20124
207	36024	19917
208	36239	19766
209	36480	19629
210	36624	19440
211	36781	19258
212	36935	19074
213	37113	18903
214	37299	18736
215	37423	18538
216	37637	18385
217	37876	18243
218	38023	18056
219	38272	17918
220	38448	17745
221	38740	17625
222	38899	17443
223	39033	17251
224	39137	17046
225	39268	16854
226	39419	16670
227	39624	16510
228	39820	16345
229	39983	16167
230	40180	16002
231	40424	15856
232	40644	15699
233	40842	15534
234	41072	15380
235	41298	15224
236	41467	15047
237	41633	14869
238	41773	14681
239	42006	14527
240	42184	14353
241	42348	14174
242	42563	14012
243	42736	13836
244	42870	13648
245	43065	13479
246	43183	13287
247	43421	13131
248	43628	12965
249	43805	12791
250	43958	12609
251	44097	12424
252	44226	12236
253	44453	12075
254	44623	11899
255	44849	11737
256	44987	11553
257	45215	11391
258	45366	11210
259	45530	11032
260	45752	10868
261	45975	10704
262	46203	10540
263	46415	10373
264	46589	10196
265	46832	10035
266	46950	9847
267	47117	9669
268	47384	9512
269	47527	9329
270	47672	9147
271	47813	8965
272	48068	8803
273	48205	8620
274	48437	8454
275	48645	8283
276	48859	8113
277	49040	7938
278	49238	7765
279	49360	7580
280	49573	7409
281	49697	7225
282	49853	7046
283	50013	6868
284	50195	6692
285	50345	6513
286	50558	6341
287	50795	6173
288	50957	5995
289	51140	5819
290	51309	5642
291	51415	5458
292	51634	5286
293	51825	5112
294	52021	4937
295	52239	4765
296	52371	4584
297	52602	4412
298	52791	4237
299	53019	4064
300	53184	3887
301	53364	3710
302	53518	3532
303	53713	3357
304	53950	3183
305	54096	3005
306	54314	2830
307	54550	2656
308	54802	2482
309	54972	2305
310	55174	2128
311	55355	1951
312	55516	1773
313	55663	1595
314	55858	1418
315	56083	1242
316	56306	1065
317	56487	888
318	56609	709
319	56763	532
320	56937	354
321	57113	177
322	57271	0
