iter	Passed	Remaining
0	185	56671
1	280	42834
2	549	55695
3	685	51897
4	890	53792
5	1003	50323
6	1159	49680
7	1268	47399
8	1426	47233
9	1670	49613
10	1806	48607
11	1904	46808
12	2009	45440
13	2117	44318
14	2276	44306
15	2357	42884
16	2520	42995
17	2726	43775
18	2903	44005
19	3142	45089
20	3333	45404
21	3423	44349
22	3591	44341
23	3828	45149
24	3949	44550
25	4033	43597
26	4246	44034
27	4405	43893
28	4586	43964
29	4750	43866
30	4925	43850
31	5040	43317
32	5120	42516
33	5272	42333
34	5485	42632
35	5618	42296
36	5778	42163
37	6002	42492
38	6149	42255
39	6296	42031
40	6567	42607
41	6706	42312
42	6846	42035
43	6995	41816
44	7137	41558
45	7281	41312
46	7417	41031
47	7541	40694
48	7695	40521
49	7857	40386
50	8005	40184
51	8155	39990
52	8302	39789
53	8399	39352
54	8545	39153
55	8681	38910
56	8843	38789
57	9006	38665
58	9126	38360
59	9299	38283
60	9444	38086
61	9563	37791
62	9717	37636
63	9886	37537
64	10115	37661
65	10264	37481
66	10382	37190
67	10522	36983
68	10664	36784
69	10820	36634
70	11013	36607
71	11151	36396
72	11314	36268
73	11446	36040
74	11596	35873
75	11747	35707
76	11981	35789
77	12161	35704
78	12286	35458
79	12421	35245
80	12652	35301
81	12811	35154
82	12957	34969
83	13111	34807
84	13280	34685
85	13523	34751
86	13727	34713
87	13945	34704
88	14088	34509
89	14278	34426
90	14460	34324
91	14547	33997
92	14731	33897
93	14855	33660
94	15022	33523
95	15094	33176
96	15278	33076
97	15424	32895
98	15565	32702
99	15729	32560
100	15890	32409
101	16041	32240
102	16240	32165
103	16288	31794
104	16440	31628
105	16560	31401
106	16749	31307
107	16920	31177
108	17055	30981
109	17229	30857
110	17467	30843
111	17588	30622
112	17777	30521
113	17916	30331
114	18160	30320
115	18405	30305
116	18642	30273
117	18881	30243
118	19043	30086
119	19210	29936
120	19422	29856
121	19612	29739
122	19799	29618
123	19955	29449
124	20113	29284
125	20271	29120
126	20500	29055
127	20647	28874
128	20812	28717
129	20985	28572
130	21139	28400
131	21294	28230
132	21453	28067
133	21585	27867
134	21746	27706
135	21998	27659
136	22168	27507
137	22351	27373
138	22472	27161
139	22661	27032
140	22868	26922
141	23003	26729
142	23212	26621
143	23365	26448
144	23634	26405
145	23813	26260
146	24007	26130
147	24172	25969
148	24371	25843
149	24508	25652
150	24658	25474
151	24894	25386
152	25085	25249
153	25242	25078
154	25392	24901
155	25567	24747
156	25751	24602
157	25879	24405
158	26037	24236
159	26251	24118
160	26436	23973
161	26593	23802
162	26860	23729
163	27035	23573
164	27237	23441
165	27372	23250
166	27528	23077
167	27707	22924
168	27893	22776
169	28062	22615
170	28182	22414
171	28356	22256
172	28523	22093
173	28569	21837
174	28731	21671
175	28881	21497
176	29043	21331
177	29228	21182
178	29382	21010
179	29558	20854
180	29732	20697
181	29887	20526
182	30051	20362
183	30123	20136
184	30360	20021
185	30508	19847
186	30703	19702
187	30885	19550
188	31073	19400
189	31205	19215
190	31403	19072
191	31578	18914
192	31748	18753
193	31913	18588
194	32170	18477
195	32320	18303
196	32504	18149
197	32644	17971
198	32804	17803
199	33002	17656
200	33157	17486
201	33334	17327
202	33541	17183
203	33698	17014
204	33954	16894
205	34141	16739
206	34399	16618
207	34582	16460
208	34854	16343
209	35031	16181
210	35157	15995
211	35317	15826
212	35490	15662
213	35702	15515
214	35845	15338
215	36087	15203
216	36273	15044
217	36521	14910
218	36711	14751
219	36867	14579
220	37029	14409
221	37191	14240
222	37366	14075
223	37584	13926
224	37762	13762
225	37984	13613
226	38179	13455
227	38356	13290
228	38502	13114
229	38698	12955
230	38858	12784
231	39043	12621
232	39204	12451
233	39342	12273
234	39522	12109
235	39661	11932
236	39817	11760
237	40002	11597
238	40124	11416
239	40285	11246
240	40476	11084
241	40677	10925
242	40845	10757
243	41025	10592
244	41206	10427
245	41369	10258
246	41601	10105
247	41728	9927
248	42002	9783
249	42158	9612
250	42338	9446
251	42560	9288
252	42817	9138
253	42963	8964
254	43147	8798
255	43392	8644
256	43633	8489
257	43811	8320
258	43940	8143
259	44164	7983
260	44420	7828
261	44600	7660
262	44767	7489
263	44890	7311
264	45116	7150
265	45229	6971
266	45445	6808
267	45586	6633
268	45769	6465
269	45953	6297
270	46112	6125
271	46353	5964
272	46507	5792
273	46670	5620
274	46844	5450
275	47007	5279
276	47197	5111
277	47436	4948
278	47591	4776
279	47762	4605
280	47923	4434
281	48209	4273
282	48336	4099
283	48543	3931
284	48679	3757
285	48847	3586
286	49013	3415
287	49174	3244
288	49362	3074
289	49607	2908
290	49732	2734
291	49906	2563
292	50071	2392
293	50294	2223
294	50444	2051
295	50615	1880
296	50784	1709
297	51038	1541
298	51201	1369
299	51365	1198
300	51521	1027
301	51706	856
302	51873	684
303	52001	513
304	52143	341
305	52348	171
306	52499	0
