iter	Passed	Remaining
0	438	218850
1	799	199139
2	1198	198545
3	1639	203298
4	2021	200088
5	2430	200086
6	2748	193559
7	2998	184409
8	3454	188441
9	3925	192333
10	4288	190623
11	4579	186248
12	4939	185035
13	5334	185181
14	5720	184965
15	6023	182200
16	6380	181279
17	6742	180545
18	7021	177757
19	7353	176472
20	7706	175771
21	8013	174119
22	8439	175028
23	8886	176249
24	9215	175096
25	9586	174764
26	9953	174370
27	10319	173952
28	10627	172611
29	10926	171188
30	11317	171229
31	11690	170970
32	12084	171015
33	12490	171194
34	12897	171349
35	13328	171784
36	13682	171217
37	14005	170278
38	14339	169500
39	14676	168775
40	15159	169717
41	15517	169211
42	15850	168458
43	16245	168365
44	16648	168336
45	16961	167405
46	17393	167643
47	17845	168046
48	18231	167805
49	18688	168194
50	19036	167594
51	19489	167912
52	19924	168044
53	20396	168458
54	20792	168233
55	21214	168201
56	21658	168327
57	22053	168065
58	22473	167976
59	22925	168123
60	23360	168117
61	23837	168402
62	24261	168288
63	24671	168077
64	25060	167711
65	25469	167478
66	25884	167280
67	26360	167464
68	26821	167534
69	27247	167378
70	27641	167017
71	28075	166892
72	28480	166590
73	28922	166501
74	29392	166556
75	29798	166246
76	30225	166042
77	30634	165742
78	31058	165513
79	31474	165239
80	31915	165091
81	32361	164966
82	32928	165437
83	33349	165159
84	33754	164801
85	34205	164664
86	34665	164559
87	35151	164573
88	35599	164395
89	36028	164130
90	36488	163996
91	36902	163654
92	37384	163605
93	37835	163416
94	38250	163069
95	38718	162942
96	39163	162708
97	39615	162502
98	40059	162262
99	40543	162173
100	40943	161745
101	41379	161462
102	41869	161381
103	42303	161078
104	42789	160970
105	43233	160696
106	43667	160387
107	44124	160156
108	44553	159820
109	45040	159688
110	45429	159207
111	45825	158752
112	46269	158462
113	46681	158060
114	47118	157745
115	47562	157447
116	47997	157119
117	48427	156774
118	48870	156466
119	49289	156083
120	49725	155750
121	50202	155545
122	50643	155223
123	51128	155034
124	51540	154620
125	52007	154370
126	52451	154049
127	52874	153667
128	53260	153174
129	53740	152953
130	54226	152744
131	54701	152501
132	55159	152208
133	55676	152070
134	56099	151676
135	56530	151302
136	57013	151064
137	57510	150861
138	57937	150471
139	58399	150169
140	58826	149779
141	59361	149657
142	59858	149435
143	60272	149007
144	60699	148608
145	61171	148320
146	61596	147916
147	62040	147556
148	62559	147372
149	62926	146829
150	63375	146478
151	63854	146192
152	64375	146002
153	64868	145744
154	65352	145461
155	65886	145289
156	66352	144961
157	66794	144580
158	67287	144307
159	67718	143902
160	68203	143607
161	68651	143236
162	69021	142701
163	69448	142284
164	69928	141976
165	70298	141444
166	70779	141134
167	71294	140891
168	71726	140481
169	72189	140132
170	72665	139806
171	73125	139449
172	73542	139007
173	73959	138567
174	74467	138297
175	74912	137906
176	75345	137494
177	75811	137141
178	76179	136612
179	76665	136295
180	77123	135924
181	77482	135380
182	77861	134874
183	78363	134580
184	78758	134102
185	79203	133709
186	79564	133174
187	80022	132802
188	80524	132502
189	81020	132190
190	81534	131906
191	82000	131542
192	82512	131249
193	82992	130906
194	83381	130417
195	83835	130029
