iter	Logloss
0	0.6741068423
1	0.6574885144
2	0.641461660233	0.629582031644	0.616399288455	0.603669159966	0.591786101277	0.580105809188	0.570018458499	0.5591805054110	0.5504760211111	0.5400271811212	0.5306215141313	0.5216885911414	0.5139088851515	0.5068553361616	0.5010136141717	0.4948633821818	0.4888529601919	0.482522641220	0.4764638499221	0.4706855163222	0.4652303865223	0.4603747773224	0.4548688706225	0.4502337396226	0.4467775876227	0.4424124945228	0.4400375644229	0.4365462033030	0.4340110443131	0.4300178993232	0.4266716633333	0.4235973783434	0.4209971023535	0.4184251333636	0.4152259237	37	0.4128957738	38	0.4101403239	39	0.4082304140	40	0.4066206641	41	0.4035970342	42	0.4011754643	43	0.3985576244	44	0.3959735845	45	0.3937212146	46	0.3914452647	47	0.389646448	048	0.388302949	049	0.385413650	50	0.3834711951	51	0.3813172552	52	0.3795944353	53	0.3773610654	54	0.3756609355	55	0.3741856056	56	0.3727318857	57	0.371063485858	0.3689199915959	0.367745401660	0.3658774902661	0.3646247908662	0.3631981306663	0.3619539235664	0.3604333496565	0.3591197516666	0.3578733026767	0.3564804566868	0.3556274169	69	0.3544244170	70	0.3530771871	71	0.3523958272	72	0.3509501873	73	0.3495963474	74	0.3488496575	75	0.348086576	076	0.347142377	077	0.345947478	078	0.345047379	079	0.344162980	080	0.342925881	081	0.341928782	082	0.341114383	083	0.340169284	084	0.339560985	085	0.338782886	086	0.337936487	087	0.336954688	088	0.335823089	089	0.335280690	090	0.334060691	091	0.333123492	092	0.332161793	093	0.331848394	094	0.33122995	0.95	0.33025596	0.96	0.32933397	0.97	0.32862698	0.98	0.32788799	0.99	0.327433100	0100	0.32672101	0.101	0.32587102	0.102	0.32503103	0.103	0.32439104	0.104	0.32387105	0.105	0.32327106	0.106	0.32215107	0.107	0.32131108	0.108	0.32053109	0.109	0.32015110	0.110	0.31967111	0.111	0.31893112	0.112	0.31835113	0.113	0.31772114	0.114	0.31693115	0115	0.316251116	0116	0.315627117	0117	0.315181118	0118	0.314421119	0119	0.314027120	0120	0.313167121	0121	0.312581122	0122	0.312006123	0123	0.311109124	0124	0.310645125	0125	0.31029126	0.126	0.30982127	0.127	0.30928128	0128	0.308661129	0129	0.308086130	0130	0.307607131	0131	0.307193132	0132	0.306926133	0133	0.306009134	0134	0.305559135	0135	0.304999136	0136	0.304546137	0137	0.304184138	0138	0.303596139	0139	0.303352140	0140	0.302811141	141	0.3024107142	142	0.3024103143	143	0.3020603144	144	0.3016562145	145	0.3011880146146	0.30111982147147	0.3008630148	148	0.3005522149	149	0.3001073150150	0.29971286151151	0.29953380152152	0.29906378153153	0.29896416154154	0.29856803155155	0.29856780156156	0.2980630115157	0.29739049115158	0.29739028715159	0.29699264716160	0.29647586516161	0.29625333316162	0.29565624016163	0.2952063164	164	0.2949215165	165	0.2943222166	166	0.2939155167	167	0.2935948168	168	0.2931164169	169	0.2928992170	170	0.2924410171	171	0.292330172	0172	0.292277173	0173	0.291909174	0174	0.291572175	0175	0.29116176	0.176	0.29076177	0.177	0.29042178	0.178	0.2901179	0.2179	0.2899180	0.2180	0.28181	0.288181	0.28182	0.28182	0.288183	0.28183	0.288184	0.28184	0.287185	0.28185	0.28186	0.28186	0.287187	0.28187	0.28188	0.286188	0.28189	0.286189	0.28190	0.286190	0.28191	0.285191	0.28192	0.285192	0.28193	0.28193	0.285194	0.28194	0.285195	0.28195	0.284196	0.28196	0.284197	0.28197	0.284198	0.198	0.28369199	0.199	0.28309200	0.200	0.28277201	0201	0.282595202	0202	0.282193203	0203	0.281827204	0204	0.28134205	0.205	0.28108206	0.206	0.28080207	0.207	0.28046208	0.208	0.28046209	0.209	0.28018210	0.210	0.27995211	0211	0.279651212	0212	0.279556213	0213	0.279091214	0214	0.278767215	0215	0.278394216	0216	0.278085217	217	0.2778537218	218	0.2775656219	219	0.2772949220	220	0.2769200221	221	0.2766249222	222	0.2762544223	223	0.2759180224	224	0.2756833225	225	0.2756824226	226	0.2755051227	227	0.2752166228	228	0.2749688229	229	0.2745564230	230	0.2743427231	231	0.2741400232	232	0.273854233	0233	0.27360234	0.234	0.2734235	0.2235	0.2730236	0.236	0.27295237	0.237	0.27250238	0.238	0.27214239	0.239	0.27192240	0.240	0.27184241	0.241	0.2714242	0.242	0.27117243	0.243	0.27087244	0.244	0.27073245	0.245	0.27073246	0246	0.270517247	0247	0.270284248	0248	0.27028249	0249	0.26989250	0.250	0.26958251	0.251	0.26958252	0.252	0.26927253	0.253	0.26872254	0.254	0.26848255	0.255	0.26848256	0.256	0.26815257	0257	0.267943258	0258	0.267259	0.26259	0.267260	0.26260	0.267261	0.26261	0.267262	0.26262	0.267263	0.26263	0.267264	0.26264	0.267265	0.26265	0.267266	0.26266	0.266267	0.26267	0.266268	0.2268	0.2666269	0.2269	0.2663270	0.2270	0.2659271	0.2271	0.2656272	0.2272	0.2654273	0.2273	0.2652274	0.2274	0.2651275	0.2275	0.2647276	0.2276	0.2647277	0.2277	0.2647278	0.2278	0.2646279	0.2279	0.2642280	0.2280	0.2639281	0.2281	0.2636282	0.2282	0.2634283	0.2283	0.2631284	0.2284	0.2628285	0.2285	0.2626286	0.2286	0.2623287	0.2287	0.2620288	0.2288	0.2615289	0.2289	0.2615290	0.2290	0.2610291	0.2291	0.261292	0.25292	0.260293	0.25293	0.260294	0.25294	0.260295	0.25295	0.260296	0.25296	0.259297	0.25297	0.259298	0.25298	0.259299	0.25299	0.259300	0.2300	0.2587301	0.301	0.258302	0.25302	0.258303	0.2303	0.2579304	0.2304	0.2576305	0.2305	0.2573306	0.2306	0.2570307	0.2307	0.2568308	0.2308	0.2565309	0.2309	0.2565310	0.2310	0.2563311	0.2311	0.256312	0.25312	0.255313	0.25313	0.255314	0.25314	0.255315	0.25315	0.255316	0.25316	0.254317	0.25317	0.254318	0.25318	0.254319	0.25319	0.253320	0.25320	0.253321	0.25321	0.25322	0.250322	0.25323	0.250323	0.25324	0.250324	0.25325	0.25325	0.252326	0.25326	0.252327	0.24327	0.251328	0.24328	0.251329	0.24329	0.251330	0.24330	0.25331	0.248331	0.25332	0.248332	0.25333	0.248333	0.2334	0.2479334	0.2335	0.2475335	0.2336	0.2474336	0.2337	0.2472337	0.2338	0.2470338	0.2339	0.2468339	0.2340	0.2463340	0.2341	0.2461341	0.2342	0.2458342	0.2343	0.2457343	0.344	0.24546344	0.345	0.24527345	0.346	0.2450346	0.2347	0.24347	0.246348	0.24348	0.246349	0.24349	0.246350	0.24350	0.246351	0.24351	0.24352	0.243352	0.24353	0.243353	0.24354	0.243354	0.24355	0.243355	0.24356	0.243356	0.24357	0.242357	0.24358	0.242358	0.2359	0.2424359	0.2360	0.242360	0.24361	0.242361	0.24362	0.241362	0.24363	0.241363	0.24364	0.24364	0.243365	0.24365	0.243366	0.24366	0.243367	0.24367	0.243368	0.24368	0.242369	0.369	0.24370	0.23370	0.242371	0.23371	0.242372	0.23372	0.241373	0.373	0.2416374	0.2374	0.2415375	0.2375	0.241376	0.23376	0.241377	0.23377	0.240378	0.23378	0.24379	0.237379	0.24380	0.237380	0.2381	0.2373381	0.2382	0.2370382	0.2383	0.2368383	0.2384	0.2367384	0.2385	0.2366385	0.386	0.23652386	0.387	0.23638387	0.388	0.23614388	0.389	0.2357389	0390	0.235558390	0391	0.235452391	0392	0.235338392	0393	0.235266393	0394	0.235039394	0395	0.234930395	0396	0.234712396	0397	0.234531397	0398	0.234307398	0399	0.234135399	0400	0.23400400	0.401	0.23380401	0.402	0.23350402	0.403	0.23330403	0.404	0.23313404	0.405	0.23304405	0.406	0.23293406	0.407	0.23271407	0.408	0.23260408	0.409	0.23238409	0.410	0.23200410	0.411	0.23195411	0412	0.231853412	0413	0.23170413	0.414	0.23156414	0.415	0.2313415	0.2416	0.2311416	0.417	0.23106417	0.418	0.2308418	0.2419	0.2307419	0.2420	0.2305420	0.2421	0.2304421	0.2422	0.2302422	0.2423	0.2301423	0424	0.229970424	0425	0.229765425	0426	0.229568426	0427	0.229236427	0428	0.229140428	0429	0.2289429	0.2430	0.2288430	0431	0.228584431	432	0.2284924432433	0.22831879433434	0.22827250434435	0.2282271435	436	0.2281695436437	0.22801523437438	0.22780302438439	0.2276761439	440	0.2275557440	441	0.2275223441	442	0.2272884442	443	0.2271554443	444	0.2269991444	445	0.2269051445	446	0.2267684446	447	0.2265684447448	0.22630944448449	0.22605563449450	0.22587136450451	0.22571943451452	0.22545335452453	0.2253616453	454	0.2252281454	455	0.225018455	0456	0.224887456	0457	0.224701457	0458	0.224659458	0459	0.224576459	0460	0.224368460	0461	0.224205461	0462	0.223922462	0463	0.223823463	0464	0.223579464	0465	0.223415465	0466	0.223147466	0467	0.222965467	0468	0.22281468	0.469	0.22275469	0.470	0.22258470	0.471	0.22245471	0.472	0.22222472	0.473	0.22206473	0474	0.221859474	0475	0.221736475	476	0.2216824476	477	0.2215536477478	0.22128850478479	0.22120429479480	0.2211520480	481	0.2209819481482	0.22090199482483	0.22071435483484	0.22063970484485	0.22052747485486	0.22041084486487	0.22033351487488	0.22020707488489	0.22005388489490	0.22000645490491	0.21981693491492	0.21963188492493	0.21953456493494	0.21950793494495	0.21939533495496	0.2192546496	497	0.2191859497	498	0.2191449498	499	0.2189692499	500	0.2189123500	501	0.2188147501	502	0.2186442502	503	0.2185660503	504	0.2183863504505	0.2182379150506	0.21816654450507	0.21793150550508	0.21766156450509	0.21751269050510	0.21733845251511	0.21723695651512	0.21712182951513	0.21707008151514	0.21688895851515	0.21671360351516	0.21667642651517	0.21642894051518	0.21636179851519	0.21616381351520	0.21586207052521	0.21577409652522	0.21569581852523	0.2155103195524	0.21540843875525	0.21532395415526	0.2152541185527	0.21490582385528	0.21475836865529	0.21469961745530	0.21454804745531	0.21429243555532	0.21407087915533	0.21393912065534	0.21376092555535	0.21367639865536	0.21361726895537	0.21347356025538	0.21331044555539	0.2131947245540	0.21310982885541	0.21294963915542	0.21292988285543	0.212752548
544	0.2125227633
545	0.2124271764
546	0.2123907667
547	0.2123558252
548	0.212272424
549	0.2121329834
550	0.2118692498
