iter	Passed	Remaining
0	408	203771
1	717	178680
2	1144	189544
3	1519	188455
4	1863	184462
5	2218	182680
6	2558	180223
7	2933	180392
8	3262	177965
9	3573	175090
10	3904	173567
11	4184	170150
12	4528	169645
13	4828	167602
14	5137	166108
15	5458	165126
16	5761	163689
17	6059	162259
18	6471	163834
19	6869	164867
20	7194	164108
21	7570	164496
22	7922	164304
23	8245	163529
24	8519	161870
25	8886	162004
26	9323	163341
27	9642	162542
28	10057	163348
29	10399	162921
30	10781	163118
31	11074	161958
32	11464	162233
33	11800	161731
34	12216	162300
35	12529	161496
36	12938	161906
37	13330	162065
38	13696	161896
39	14094	162090
40	14490	162226
41	14875	162215
42	15247	162050
43	15667	162376
44	16080	162591
45	16469	162541
46	16759	161533
47	17153	161524
48	17498	161061
49	17826	160441
50	18188	160132
51	18600	160248
52	19008	160314
53	19357	159879
54	19747	159772
55	20142	159701
56	20476	159141
57	20843	158845
58	21227	158667
59	21620	158552
60	22026	158519
61	22397	158229
62	22777	157995
63	23139	157635
64	23540	157543
65	23947	157475
66	24339	157299
67	24714	157007
68	25114	156872
69	25520	156769
70	25967	156899
71	26315	156433
72	26748	156462
73	27117	156110
74	27518	155937
75	27945	155905
76	28331	155637
77	28773	155673
78	29216	155697
79	29504	154899
80	29944	154895
81	30311	154513
82	30722	154352
83	31114	154090
84	31515	153871
85	31932	153720
86	32394	153781
87	32795	153541
88	33189	153267
89	33574	152952
90	33963	152651
91	34365	152405
92	34727	151978
93	35101	151609
94	35503	151357
95	35931	151212
96	36280	150732
97	36701	150551
98	37167	150547
99	37589	150359
100	38010	150162
101	38394	149815
102	38836	149690
103	39235	149398
104	39619	149044
105	40058	148897
106	40483	148689
107	40905	148473
108	41345	148313
109	41799	148198
110	42213	147938
111	42643	147730
112	43007	147289
113	43370	146852
114	43634	146080
115	43994	145637
116	44363	145222
117	44790	144999
118	45202	144723
119	45606	144419
120	46021	144151
121	46427	143847
122	46851	143600
123	47257	143295
124	47681	143045
125	48079	142713
126	48458	142321
127	48880	142058
128	49314	141826
129	49666	141357
130	50066	141027
131	50428	140588
132	50783	140132
133	51213	139880
134	51648	139642
135	52084	139402
136	52518	139154
137	52842	138615
138	53267	138341
139	53712	138117
140	54070	137667
141	54457	137294
142	54902	137064
143	55307	136732
144	55734	136453
145	56106	136038
146	56490	135653
147	56852	135217
148	57286	134950
149	57694	134619
150	58076	134229
151	58500	133935
152	58881	133542
153	59309	133254
154	59745	132982
155	60166	132675
156	60564	132316
157	61032	132109
158	61422	131729
159	61852	131436
160	62258	131091
161	62675	130766
162	63135	130530
163	63555	130211
164	63966	129871
165	64351	129477
166	64765	129142
167	65174	128797
168	65589	128462
169	66000	128119
170	66399	127750
171	66805	127395
172	67249	127112
173	67682	126806
174	68093	126458
175	68499	126100
176	68874	125687
177	69276	125320
178	69702	124997
179	70164	124737
180	70563	124363
181	70971	124004
182	71364	123620
183	71677	123098
184	72104	122772
185	72543	122465
186	72877	121982
187	73288	121626
188	73689	121256
189	74098	120896
190	74500	120526
191	74946	120227
192	75329	119825
193	75762	119501
194	76178	119150
195	76574	118768
196	76959	118368
197	77359	117992
198	77762	117621
199	78200	117301
200	78608	116934
201	79013	116564
202	79461	116256
203	79814	115809
204	80259	115496
205	80678	115143
206	81114	114814
207	81504	114419
208	81902	114036
209	82274	113617
210	82706	113281
211	83125	112925
212	83456	112451
213	83852	112064
214	84315	111766
215	84687	111348
216	85107	110993
217	85542	110656
218	85965	110303
219	86401	109965
220	86814	109598
221	87208	109206
222	87590	108800
223	88009	108440
224	88431	108082
225	88869	107744
226	89216	107296
227	89620	106916
228	90052	106569
229	90469	106203
230	90894	105846
231	91241	105399
232	91636	105008
233	92076	104668
234	92458	104261
235	92865	103883
236	93271	103503
237	93686	103133
238	94001	102654
239	94384	102250
240	94761	101839
241	95156	101448
242	95583	101090
243	95965	100684
244	96392	100326
245	96793	99941
246	97227	99588
247	97658	99233
248	98052	98839
249	98479	98479
250	98927	98139
251	99302	97726
252	99705	97340
253	100123	96969
254	100543	96600
255	100968	96235
256	101389	95866
257	101770	95459
258	102129	95032
259	102569	94679
260	102992	94311
261	103419	93945
262	103805	93543
263	104225	93171
264	104643	92796
265	105066	92427
266	105489	92056
267	105888	91664
268	106287	91273
269	106682	90878
270	107135	90531
271	107516	90124
272	107944	89756
273	108347	89367
274	108768	88992
275	109151	88586
276	109595	88230
277	110010	87850
278	110402	87451
279	110829	87080
280	111238	86694
281	111650	86311
282	112068	85932
283	112483	85551
284	112891	85163
285	113317	84790
286	113703	84386
287	114134	84015
288	114557	83638
289	114971	83255
290	115411	82890
291	115842	82517
292	116267	82140
293	116691	81763
294	117061	81347
295	117484	80969
296	117890	80578
297	118331	80211
298	118728	79814
299	119121	79414
300	119509	79011
301	119925	78626
302	120306	78219
303	120722	77834
304	121118	77436
305	121528	77047
306	121930	76653
307	122330	76257
308	122751	75875
309	123146	75476
310	123550	75083
311	123984	74708
312	124393	74318
313	124835	73947
314	125258	73564
315	125675	73178
316	126063	72774
317	126498	72398
318	126926	72017
319	127370	71645
320	127781	71254
321	128205	70871
322	128622	70483
323	129032	70091
324	129443	69700
325	129841	69301
326	130268	68918
327	130681	68528
328	131091	68135
329	131492	67738
330	131911	67350
331	132345	66969
332	132744	66571
333	133147	66174
334	133574	65790
335	134000	65404
336	134414	65013
337	134847	64630
338	135260	64238
