iter	Passed	Remaining
0	194	59530
1	255	39015
2	466	47256
3	541	41032
4	681	41151
5	783	39303
6	931	39936
7	1017	38042
8	1103	36525
9	1246	37032
10	1349	36317
11	1491	36655
12	1601	36220
13	1685	35271
14	1830	35642
15	1968	35806
16	2118	36137
17	2262	36324
18	2469	37438
19	2579	37009
20	2690	36644
21	2821	36556
22	2935	36251
23	3023	35657
24	3092	34881
25	3253	35160
26	3399	35252
27	3521	35089
28	3647	34970
29	3768	34794
30	3913	34844
31	4087	35124
32	4254	35327
33	4422	35508
34	4562	35459
35	4678	35220
36	4874	35567
37	5040	35679
38	5166	35501
39	5432	36264
40	5542	35957
41	5703	35984
42	5822	35746
43	6005	35897
44	6083	35418
45	6277	35618
46	6399	35402
47	6602	35626
48	6717	35371
49	6872	35326
50	7034	35311
51	7258	35595
52	7381	35375
53	7554	35394
54	7681	35194
55	7834	35114
56	7967	34946
57	8172	35085
58	8341	35060
59	8489	34947
60	8650	34884
61	8781	34699
62	8934	34605
63	9093	34528
64	9280	34551
65	9428	34429
66	9567	34271
67	9731	34203
68	9877	34069
69	10011	33895
70	10188	33865
71	10351	33786
72	10492	33634
73	10637	33493
74	10785	33361
75	10954	33295
76	11147	33298
77	11295	33161
78	11391	32875
79	11508	32654
80	11654	32518
81	11832	32466
82	11976	32321
83	12114	32161
84	12255	32008
85	12421	31921
86	12556	31751
87	12673	31540
88	12855	31488
89	12997	31337
90	13164	31247
91	13299	31080
92	13457	30967
93	13583	30780
94	13774	30738
95	13958	30679
96	14146	30626
97	14298	30493
98	14510	30485
99	14631	30287
100	14818	30223
101	14973	30093
102	15157	30020
103	15364	29990
104	15553	29922
105	15699	29770
106	15843	29614
107	16030	29537
108	16173	29379
109	16307	29205
110	16482	29104
111	16607	28914
112	16737	28734
113	16909	28627
114	17063	28487
115	17224	28361
116	17374	28214
117	17527	28074
118	17698	27960
119	17872	27852
120	18018	27697
121	18170	27553
122	18349	27449
123	18520	27332
124	18657	27165
125	18812	27024
126	18970	26886
127	19150	26780
128	19355	26708
129	19465	26502
130	19629	26371
131	19858	26327
132	19969	26125
133	20168	26038
134	20347	25924
135	20562	25853
136	20769	25772
137	20905	25601
138	21102	25505
139	21267	25369
140	21457	25261
141	21592	25089
142	21736	24928
143	21896	24786
144	22034	24618
145	22168	24446
146	22366	24344
147	22504	24177
148	22692	24062
149	22842	23908
150	23013	23775
151	23123	23579
152	23268	23420
153	23385	23233
154	23561	23105
155	23717	22957
156	23860	22797
157	24007	22640
158	24156	22485
159	24313	22338
160	24468	22189
161	24582	22002
162	24741	21857
163	24915	21724
164	25068	21573
165	25196	21401
166	25350	21251
167	25548	21138
168	25686	20974
169	25823	20810
170	26036	20707
171	26184	20552
172	26390	20441
173	26571	20310
174	26728	20160
175	26906	20027
176	27065	19878
177	27183	19700
178	27358	19563
179	27495	19399
180	27704	19285
181	27852	19129
182	28001	18973
183	28217	18862
184	28396	18726
185	28530	18560
186	28726	18433
187	28860	18268
188	28988	18098
189	29188	17973
190	29365	17834
191	29522	17682
192	29740	17566
193	29886	17408
194	30068	17270
195	30217	17113
196	30403	16976
197	30611	16851
198	30805	16718
199	30937	16551
200	31049	16374
201	31257	16247
202	31386	16079
203	31587	15948
204	31725	15785
205	31906	15643
206	32092	15503
207	32267	15357
208	32410	15197
209	32557	15038
210	32704	14879
211	32830	14711
212	32976	14553
213	33125	14395
214	33284	14242
215	33432	14085
216	33585	13929
217	33776	13789
218	33968	13649
219	34144	13502
220	34282	13340
221	34447	13189
222	34600	13033
223	34749	12876
224	34896	12717
225	35113	12584
226	35319	12447
227	35490	12297
228	35638	12138
229	35846	12000
230	36027	11853
231	36160	11689
232	36314	11533
233	36460	11374
234	36611	11217
235	36798	11070
236	36985	10924
237	37131	10765
238	37283	10607
239	37490	10466
240	37622	10303
241	37777	10146
242	37936	9991
243	38085	9833
244	38224	9673
245	38440	9531
246	38580	9371
247	38721	9211
248	38875	9055
249	39024	8897
250	39167	8738
251	39355	8589
252	39491	8428
253	39684	8280
254	39821	8120
255	40013	7971
256	40229	7826
257	40367	7666
258	40581	7520
259	40780	7371
260	40936	7214
261	41135	7065
262	41252	6901
263	41431	6748
264	41577	6589
265	41721	6430
266	41909	6278
267	42030	6116
268	42193	5960
269	42344	5802
270	42560	5653
271	42686	5492
272	42924	5345
273	43057	5185
274	43236	5031
275	43403	4875
276	43624	4724
277	43780	4567
278	43940	4409
279	44097	4252
280	44293	4098
281	44475	3942
282	44630	3784
283	44827	3630
284	44983	3472
285	45148	3315
286	45326	3158
287	45440	2997
288	45630	2842
289	45791	2684
290	45979	2528
291	46143	2370
292	46323	2213
293	46449	2053
294	46621	1896
295	46705	1735
296	46863	1577
297	47004	1419
298	47149	1261
299	47323	1104
300	47524	947
301	47666	789
302	47809	631
303	47961	473
304	48107	315
305	48294	157
306	48462	0
