iter	Logloss
0	0.658409010911	0.627620775
2	0.6007338244
3	0.5739648348
4	0.5503475907
5	0.5296683149
6	0.5086207339
7	0.491090109188	0.473722462599	0.4566093477110	0.4416127912111	0.4287587581212	0.4159112131313	0.4031966581414	0.3917448801515	0.3821225916	16	0.371907581717	0.3629432061818	0.3558204819	19	0.3478241320	20	0.3414952521	21	0.3358965722	22	0.330038242323	0.3250714972424	0.31962051
25	0.3147658462
26	0.3106314469
27	0.3064056527
28	0.3029747257
29	0.2987625012
30	0.2949419089
31	0.2918511305
32	0.2879706943
33	0.2849286452
34	0.281468378
35	0.2785691716
36	0.2768438223
37	0.2747768011
38	0.2733087048
39	0.2711665663
40	0.269227621
41	0.2669400678
42	0.2647208619
43	0.2633219529
44	0.2617297985
45	0.2608859234
46	0.2595766948
47	0.2576067921
48	0.2560357715
49	0.2554231293
50	0.2544249124
51	0.2527759387
52	0.2513855214
53	0.2500209661
54	0.2489456268555	0.2485689277556	0.2469940344557	0.2457307621558	0.2442759628559	0.2430243969660	0.2417044247661	0.2408826511662	0.2398134398663	0.2396265539664	0.2381588081665	0.2370697336666	0.2362386318667	0.2347117873668	0.2333082131669	0.2325188529770	0.2318955284771	0.2308136893772	0.2304747888773	0.2295611419774	0.2288391324775	0.228525321
76	0.2276982664
