iter	Passed	Remaining
0	481	480782
1	910	454259
2	1305	433899
3	1725	429527
4	2101	418167
5	2449	405754
6	2826	400906
7	3194	396092
8	3434	378148
9	3878	383956
10	4214	378928
11	4364	359342
12	4687	355887
13	5126	361032
14	5499	361112
15	5858	360295
16	6163	356384
17	6571	358493
18	6918	357202
19	7366	360946
20	7663	357247
21	7975	354550
22	8291	352229
23	8591	349371
24	8948	349000
25	9406	352399
26	9736	350891
27	10091	350333
28	10422	348967
29	10904	352581
30	11382	355784
31	11672	353087
32	12094	354403
33	12468	354251
34	12902	355749
35	13405	358979
36	13759	358109
37	14298	361979
38	14566	358935
39	14985	359643
40	15320	358344
41	15790	360176
42	16210	360788
43	16586	360387
44	17048	361812
45	17348	359789
46	17807	361071
47	18309	363130
48	18788	364652
49	19081	362544
50	19467	362253
51	19994	364515
52	20486	366052
53	20917	366447
54	21371	367207
55	21803	367537
56	22282	368644
57	22777	369932
58	23257	370930
59	23785	372632
60	24279	373741
61	24819	375501
62	25325	376665
63	25765	376821
64	26141	376035
65	26605	376502
66	27143	377980
67	27600	378290
68	28072	378774
69	28465	378185
70	28985	379262
71	29523	380529
72	30054	381647
73	30499	381659
74	31021	382598
75	31500	382982
76	31971	383239
77	32513	384321
78	33041	385204
79	33513	385400
80	34009	385857
81	34561	386917
82	35133	388167
83	35562	387802
84	36097	388582
85	36654	389562
86	37143	389795
87	37635	390037
88	38104	390040
89	38627	390565
90	39172	391297
91	39634	391178
92	40099	391080
93	40472	390086
94	40904	389665
95	41449	390320
96	41982	390824
97	42364	389929
98	42759	389155
99	43259	389337
100	43814	389990
101	44232	389419
102	44670	389020
103	45199	389410
104	45709	389614
105	46275	390288
106	46797	390558
107	47259	390325
108	47785	390616
109	48271	390561
110	48790	390764
111	49298	390869
112	49825	391105
113	50328	391146
114	50800	390940
115	51298	390926
116	51857	391372
117	52396	391642
118	52825	391086
119	53373	391402
120	53924	391732
121	54472	392023
122	54993	392105
123	55470	391875
124	55946	391624
125	56420	391363
126	56924	391300
127	57454	391411
128	57979	391474
129	58509	391563
130	59045	391682
131	59526	391433
132	60072	391603
133	60548	391306
134	61003	390873
135	61495	390679
136	62037	390788
137	62490	390341
138	63000	390237
139	63515	390164
140	64019	390018
141	64466	389523
142	65035	389757
143	65571	389786
