iter	Passed	Remaining
0	206	118304
1	344	98505
2	401	76480
3	490	69926
4	643	73280
5	751	71120
6	888	71937
7	1031	73005
8	1171	73559
9	1295	73093
10	1434	73429
11	1545	72360
12	1712	73909
13	1849	73992
14	1985	74001
15	2054	71645
16	2209	72404
17	2379	73496
18	2461	71896
19	2662	73750
20	2824	74377
21	2932	73569
22	2972	71213
23	3133	71799
24	3310	72704
25	3527	74348
26	3681	74574
27	3844	74967
28	3952	74285
29	4128	74855
30	4325	75764
31	4513	76451
32	4698	77031
33	4778	75897
34	4934	75983
35	5134	76733
36	5220	75774
37	5361	75621
38	5489	75299
39	5749	76750
40	5893	76617
41	5976	75705
42	6047	74674
43	6236	75116
44	6310	74184
45	6537	75037
46	6711	75253
47	6930	75948
48	7121	76299
49	7229	75762
50	7319	75064
51	7438	74674
52	7653	75236
53	7800	75114
54	7987	75372
55	8171	75589
56	8363	75858
57	8528	75874
58	8710	76036
59	8806	75442
60	8886	74737
61	9080	74987
62	9277	75247
63	9457	75368
64	9667	75701
65	9898	76188
66	10059	76120
67	10191	75840
68	10367	75878
69	10563	76058
70	10761	76236
71	10952	76365
72	11156	76566
73	11329	76551
74	11522	76666
75	11716	76773
76	11933	77023
77	11994	76274
78	12205	76477
79	12416	76673
80	12612	76766
81	12782	76695
82	12991	76854
83	13179	76879
84	13364	76884
85	13525	76749
86	13726	76834
87	13941	76994
88	14124	76970
89	14315	76984
90	14509	77012
91	14701	77024
92	14919	77166
93	15113	77175
94	15329	77292
95	15517	77261
96	15723	77319
97	15890	77183
98	16053	77026
99	16294	77235
100	16484	77199
101	16697	77266
102	16910	77330
103	17040	77009
104	17226	76945
105	17416	76893
106	17606	76841
107	17835	76957
108	17998	76784
109	18182	76697
110	18356	76568
111	18572	76612
112	18765	76556
113	18955	76488
114	19188	76585
115	19372	76488
116	19571	76445
117	19805	76534
118	19885	76032
119	20068	75924
120	20275	75907
121	20469	75837
122	20587	75486
123	20785	75432
124	20983	75370
125	21116	75080
126	21307	74994
127	21489	74876
128	21649	74683
129	21841	74595
130	21976	74318
131	22161	74207
132	22374	74190
133	22583	74156
134	22775	74063
135	22963	73956
136	23138	73807
137	23349	73769
138	23556	73719
139	23713	73511
140	23918	73451
141	24062	73205
142	24271	73154
143	24481	73105
144	24639	72899
145	24826	72778
146	25037	72727
147	25223	72603
148	25431	72538
149	25638	72470
150	25858	72437
151	26024	72252
152	26228	72170
153	26426	72071
154	26642	72019
155	26819	71861
156	27020	71767
157	27203	71623
158	27382	71471
159	27567	71332
160	27748	71181
161	27967	71126
162	28120	70905
163	28304	70760
164	28522	70700
165	28626	70360
166	28827	70257
167	29016	70123
168	29237	70066
169	29382	69827
170	29608	69778
171	29757	69549
172	29938	69396
173	30153	69317
174	30332	69157
175	30531	69041
176	30722	68908
177	30936	68824
178	31149	68738
179	31339	68599
180	31546	68496
181	31741	68365
182	31935	68233
183	32106	68051
184	32319	67958
185	32488	67771
186	32724	67723
187	32868	67486
188	33082	67391
189	33272	67245
190	33463	67101
191	33646	66942
192	33822	66767
193	33988	66576
194	34191	66455
195	34389	66321
196	34603	66220
197	34814	66112
198	35007	65969
199	35206	65836
200	35413	65717
